n 425, BTC size 425
4.37889, 6.95336e-310
4.40259, 6.95336e-310
4.4263, 6.95336e-310
4.45, 6.95336e-310
4.4737, 6.95336e-310
4.49741, 6.95336e-310
4.52111, 6.95336e-310
4.54481, 6.95336e-310
4.56852, 6.95336e-310
4.59222, 6.95336e-310
4.61593, 6.95336e-310
4.63963, 6.95336e-310
4.66333, 6.95336e-310
4.68704, 6.95336e-310
4.71074, 6.95336e-310
4.73444, 6.95336e-310
4.75815, 6.95336e-310
4.78185, 6.95336e-310
4.80556, 6.95336e-310
4.82926, 6.95336e-310
4.85296, 6.95336e-310
4.87667, 6.95336e-310
4.90037, 6.95336e-310
4.92407, 6.95336e-310
4.94778, 6.95336e-310
4.97148, 6.95336e-310
4.99519, 6.95336e-310
5.01889, 6.95336e-310
5.04259, 6.95336e-310
5.0663, 6.95336e-310
5.09, 6.95336e-310
5.1137, 6.95336e-310
5.13741, 6.95336e-310
5.16111, 6.95336e-310
5.18481, 6.95336e-310
5.20852, 6.95336e-310
5.23222, 6.95336e-310
5.25593, 6.95336e-310
5.27963, 6.95336e-310
5.30333, 6.95336e-310
5.32704, 6.95336e-310
5.35074, 6.95336e-310
5.37444, 6.95336e-310
5.39815, 6.95336e-310
5.42185, 6.95336e-310
5.44556, 6.95336e-310
5.46926, 6.95336e-310
5.49296, 6.95336e-310
5.51667, 6.95336e-310
5.54037, 6.95336e-310
5.56407, 6.95336e-310
5.58778, 6.95336e-310
5.61148, 6.95336e-310
5.63519, 6.95336e-310
5.65889, 6.95336e-310
5.68259, 6.95336e-310
5.7063, 6.95336e-310
5.73, 6.95336e-310
5.7537, 6.95336e-310
5.77741, 6.95336e-310
5.80111, 6.95336e-310
5.82481, 6.95336e-310
5.84852, 6.95336e-310
5.87222, 6.95336e-310
5.89593, 6.95336e-310
5.91963, 6.95336e-310
5.94333, 6.95336e-310
5.96704, 6.95336e-310
5.99074, 6.95336e-310
6.01444, 6.95336e-310
6.03815, 6.95336e-310
6.06185, 6.95336e-310
6.08556, 6.95336e-310
6.10926, 6.95336e-310
6.13296, 6.95336e-310
6.15667, 6.95336e-310
6.18037, 6.95336e-310
6.20407, 6.95336e-310
6.22778, 6.95336e-310
6.25148, 6.95336e-310
6.27519, 6.95336e-310
6.29889, 6.95336e-310
6.32259, 6.95336e-310
6.3463, 6.95336e-310
6.37, 6.95336e-310
6.3937, 6.95336e-310
6.41741, 6.95336e-310
6.44111, 6.95336e-310
6.46481, 6.95336e-310
6.48852, 6.95336e-310
6.51222, 6.95336e-310
6.53593, 6.95336e-310
6.55963, 6.95336e-310
6.58333, 6.95336e-310
6.60704, 6.95336e-310
6.63074, 6.95336e-310
6.65444, 6.95336e-310
6.67815, 6.95336e-310
6.70185, 6.95336e-310
6.72556, 6.95336e-310
6.74926, 6.95336e-310
6.77296, 6.95336e-310
6.79667, 6.95336e-310
6.82037, 6.95336e-310
6.84407, 6.95336e-310
6.86778, 6.95336e-310
6.89148, 6.95336e-310
6.91519, 6.95336e-310
6.93889, 6.95336e-310
6.96259, 6.95336e-310
6.9863, 6.95336e-310
7.01, 6.95336e-310
7.0337, 6.95336e-310
7.05741, 6.95336e-310
7.08111, 6.95336e-310
7.10481, 6.95336e-310
7.12852, 6.95336e-310
7.15222, 6.95336e-310
7.17593, 6.95336e-310
7.19963, 6.95336e-310
7.22333, 6.95336e-310
7.24704, 6.95336e-310
7.27074, 6.95336e-310
7.29444, 6.95336e-310
7.31815, 6.95336e-310
7.34185, 6.95336e-310
7.36556, 6.95336e-310
7.38926, 6.95336e-310
7.41296, 6.95336e-310
7.43667, 6.95336e-310
7.46037, 6.95336e-310
7.48407, 6.95336e-310
7.50778, 6.95336e-310
7.53148, 6.95336e-310
7.55519, 6.95336e-310
7.57889, 6.95336e-310
7.60259, 6.95336e-310
7.6263, 6.95336e-310
7.65, 6.95336e-310
7.6737, 6.95336e-310
7.69741, 6.95336e-310
7.72111, 6.95336e-310
7.74481, 6.95336e-310
7.76852, 6.95336e-310
7.79222, 6.95336e-310
7.81593, 6.95336e-310
7.83963, 6.95336e-310
7.86333, 6.95336e-310
7.88704, 6.95336e-310
7.91074, 6.95336e-310
7.93444, 6.95336e-310
7.95815, 6.95336e-310
7.98185, 6.95336e-310
8.00556, 6.95336e-310
8.02926, 6.95336e-310
8.05296, 6.95336e-310
8.07667, 6.95336e-310
8.10037, 6.95336e-310
8.12407, 6.95336e-310
8.14778, 6.95336e-310
8.17148, 6.95336e-310
8.19519, 6.95336e-310
8.21889, 6.95336e-310
8.24259, 6.95336e-310
8.2663, 6.95336e-310
8.29, 6.95336e-310
8.3137, 6.95336e-310
8.33741, 6.95336e-310
8.36111, 6.95336e-310
8.38481, 6.95336e-310
8.40852, 6.95336e-310
8.43222, 6.95336e-310
8.45593, 6.95336e-310
8.47963, 6.95336e-310
8.50333, 6.95336e-310
8.52704, 6.95336e-310
8.55074, 6.95336e-310
8.57444, 6.95336e-310
8.59815, 6.95336e-310
8.62185, 6.95336e-310
8.64556, 6.95336e-310
8.66926, 6.95336e-310
8.69296, 6.95336e-310
8.71667, 6.95336e-310
8.74037, 6.95336e-310
8.76407, 6.95336e-310
8.78778, 6.95336e-310
8.81148, 6.95336e-310
8.83519, 6.95336e-310
8.85889, 6.95336e-310
8.88259, 6.95336e-310
8.9063, 6.95336e-310
8.93, 6.95336e-310
8.9537, 6.95336e-310
8.97741, 6.95336e-310
9.00111, 6.95336e-310
9.02481, 6.95336e-310
9.04852, 6.95336e-310
9.07222, 6.95336e-310
9.09593, 6.95336e-310
9.11963, 6.95336e-310
9.14333, 6.95336e-310
9.16704, 6.95336e-310
9.19074, 6.95336e-310
9.21444, 6.95336e-310
9.23815, 6.95336e-310
9.26185, 6.95336e-310
