Generation: 0
ID, rc_coeff, likelihood, Fitness, Rank
21, 8.569959e-01, 2.160923e+02, 2.941176e-02, 34
22, 1.724537e+00, 4.255078e+02, 2.777778e-02, 36
23, 7.049168e-02, 2.877047e+00, 4.347826e-02, 23
24, 1.012842e-01, 8.219286e+00, 3.571429e-02, 28
25, 3.097322e-02, 6.264154e-01, 5.555556e-02, 18
26, 3.903862e-02, 3.747534e-01, 1.000000e+00, 1
27, 6.536676e+00, 1.161343e+03, 2.564103e-02, 39
28, 3.144363e+00, 6.978156e+02, 2.702703e-02, 37
29, 4.681687e-02, 5.607631e-01, 6.250000e-02, 16
30, 3.496960e-02, 4.374232e-01, 7.692308e-02, 13
31, 1.195911e-01, 1.211081e+01, 3.333333e-02, 30
32, 4.083860e-02, 3.843597e-01, 1.250000e-01, 8
33, 3.844066e-02, 3.764368e-01, 2.000000e-01, 5
34, 1.434212e-01, 1.767408e+01, 3.125000e-02, 32
35, 9.638973e-02, 7.253202e+00, 4.000000e-02, 25
36, 3.698579e-02, 3.911089e-01, 9.090909e-02, 11
37, 3.705078e-02, 3.901264e-01, 1.111111e-01, 9
38, 1.404018e-01, 1.694461e+01, 3.225806e-02, 31
39, 2.024001e-02, 1.920375e+00, 4.545455e-02, 22
Generation: 6
ID, rc_coeff, likelihood, Fitness, Rank
0, 3.903862e-02, 3.747534e-01, 5.000000e-01, 2
1, 3.950988e-02, 3.751682e-01, 2.500000e-01, 4
2, 3.052490e-02, 6.562948e-01, 3.846154e-02, 26
3, 6.708698e+00, 1.181289e+03, 2.500000e-02, 40
4, 8.789750e-01, 2.219240e+02, 2.631579e-02, 38
5, 3.885500e-02, 3.750042e-01, 3.333333e-01, 3
6, 2.660743e-02, 9.999280e-01, 3.448276e-02, 29
7, 4.948368e-02, 7.036789e-01, 3.703704e-02, 27
8, 3.980477e-02, 3.761888e-01, 1.250000e-01, 8
9, 3.829331e-02, 3.772338e-01, 9.090909e-02, 11
10, 4.037906e-02, 3.798579e-01, 7.142857e-02, 14
11, 3.964244e-02, 3.755569e-01, 1.666667e-01, 6
12, 8.655705e-01, 2.183708e+02, 2.702703e-02, 37
13, 1.157624e-01, 1.126488e+01, 3.125000e-02, 32
14, 3.750616e-02, 3.841105e-01, 6.666667e-02, 15
15, 4.015658e-02, 3.781764e-01, 7.692308e-02, 13
16, 4.629458e-02, 5.371527e-01, 4.545455e-02, 22
17, 3.509204e-02, 4.337102e-01, 5.263158e-02, 19
18, 4.585565e-01, 1.055916e+02, 2.857143e-02, 35
19, 3.984024e-02, 3.763514e-01, 1.111111e-01, 9
20, 5.246940e-01, 1.244867e+02, 2.777778e-02, 36
21, 4.670095e-02, 5.553919e-01, 4.347826e-02, 23
22, 4.490628e-02, 4.817053e-01, 4.761905e-02, 21
23, 2.824027e-02, 8.381346e-01, 3.571429e-02, 28
24, 3.991594e-02, 3.767272e-01, 1.000000e-01, 10
25, 3.958374e-02, 3.753700e-01, 2.000000e-01, 5
26, 4.002234e-02, 3.773202e-01, 8.333333e-02, 12
27, 2.452260e-01, 4.464103e+01, 3.030303e-02, 33
28, 3.726655e-02, 3.870882e-01, 6.250000e-02, 16
29, 3.977932e-02, 3.760769e-01, 1.428571e-01, 7
30, 4.399520e-02, 4.512579e-01, 5.000000e-02, 20
31, 9.640620e-02, 7.256397e+00, 3.225806e-02, 31
32, 3.923640e-02, 3.747427e-01, 1.000000e+00, 1
33, 3.691010e-02, 3.922924e-01, 5.555556e-02, 18
34, 3.163134e-02, 5.858265e-01, 4.000000e-02, 25
35, 2.528748e-01, 4.677714e+01, 2.941176e-02, 34
36, 3.181690e-02, 5.750860e-01, 4.166667e-02, 24
37, 8.876402e-02, 5.824806e+00, 3.333333e-02, 30
38, 4.112130e-02, 3.878063e-01, 5.882353e-02, 17
39, 6.565825e+00, 1.164650e+03, 2.564103e-02, 39
Generation: 7
ID, rc_coeff, likelihood, Fitness, Rank
0, 3.923640e-02, 3.747427e-01, 1.000000e+00, 1
1, 3.901158e-02, 3.747757e-01, 3.333333e-01, 3
2, 3.898263e-02, 3.748052e-01, 2.500000e-01, 4
3, 2.680461e-02, 9.789118e-01, 3.225806e-02, 31
4, 2.983227e-02, 7.061467e-01, 3.846154e-02, 26
5, 4.137151e-02, 3.912899e-01, 5.882353e-02, 17
6, 2.981569e-02, 7.073962e-01, 3.703704e-02, 27
7, 4.889916e-02, 6.692376e-01, 4.166667e-02, 24
8, 3.998033e-02, 3.770771e-01, 1.428571e-01, 7
9, 4.155509e-02, 3.941004e-01, 5.263158e-02, 19
10, 7.698945e-02, 3.836855e+00, 2.941176e-02, 34
11, 4.987960e-02, 7.279713e-01, 3.448276e-02, 29
12, 4.023793e-02, 3.787528e-01, 1.000000e-01, 10
13, 3.999622e-02, 3.771678e-01, 1.250000e-01, 8
14, 2.907800e-02, 7.655964e-01, 3.333333e-02, 30
15, 4.268501e-02, 4.160490e-01, 4.761905e-02, 21
16, 4.152658e-02, 3.936501e-01, 5.555556e-02, 18
17, 4.222359e-02, 4.061254e-01, 5.000000e-02, 20
18, 3.429618e+00, 7.460560e+02, 2.564103e-02, 39
19, 4.593781e-02, 5.218787e-01, 4.545455e-02, 22
20, 3.865336e-02, 3.755485e-01, 1.666667e-01, 6
21, 6.902308e+00, 1.202500e+03, 2.500000e-02, 40
22, 3.926587e-02, 3.747640e-01, 5.000000e-01, 2
23, 3.030831e-02, 6.714090e-01, 4.000000e-02, 25
24, 3.412421e+00, 7.432482e+02, 2.631579e-02, 38
25, 4.104261e-02, 3.867936e-01, 7.142857e-02, 14
26, 2.566404e-02, 1.106266e+00, 3.030303e-02, 33
27, 2.633986e-02, 1.029100e+00, 3.125000e-02, 32
28, 4.118179e-02, 3.886119e-01, 6.250000e-02, 16
29, 3.962484e-02, 3.754984e-01, 2.000000e-01, 5
30, 2.474607e-01, 4.526426e+01, 2.857143e-02, 35
31, 4.691698e-02, 5.654547e-01, 4.347826e-02, 23
32, 4.049232e-02, 3.808387e-01, 9.090909e-02, 11
33, 3.331101e+00, 7.297678e+02, 2.702703e-02, 37
34, 3.760025e-02, 3.830554e-01, 8.333333e-02, 12
35, 4.016610e-02, 3.782415e-01, 1.111111e-01, 9
36, 8.447651e-01, 2.128344e+02, 2.777778e-02, 36
37, 4.099074e-02, 3.861476e-01, 7.692308e-02, 13
38, 4.112278e-02, 3.878260e-01, 6.666667e-02, 15
39, 2.955507e-02, 7.273541e-01, 3.571429e-02, 28
